Player 1,Player 2,Winner,Number of Matches won by player 1,Number of Matches won by player 2,deck of player 1,deck of player 2
Oscar Zamora,dmeza,dmeza,0,2,RB Goblins,Replenish
Luis David Jiménez,Tharo,Luis David Jiménez,2,0,Survival Rock,RG Ponzavore
DarioRod,DaiH,DarioRod,2,0,Stasis,Psychatog
BlackWaldo,DaiH,BlackWaldo,2,0,Mono Black Midrange,Psychatog
natitc27,Luis David Jiménez,natitc27,2,1,Pit Rack,Survival Rock
Ale Focardi,DarioRod,DarioRod,0,2,GW Oath Ponza,Stasis
dmeza,Gera25,dmeza,2,0,Replenish,Clerics
Mao88,BlackWaldo,BlackWaldo,1,2,Tidestill,Mono Black Midrange
Luis David Jiménez,Ale Focardi,Ale Focardi,0,2,Survival Rock,GW Oath Ponza
Tharo,Ale Focardi,Ale Focardi,0,2,RG Ponzavore,GW Oath Ponza
natitc27,Gera25,natitc27,2,1,Pit Rack,Clerics
ecianfanelli,Ale Focardi,ecianfanelli,2,1,Tidestill,GW Oath Ponza
ecianfanelli,dmeza,ecianfanelli,2,0,Tidestill,Tireless Psychatog
natitc27,ecianfanelli,natitc27,2,1,Pit Rack,Tidestill
Gera25,Tharo,Gera25,2,0,Clerics,RG Ponzavore
BlackWaldo,natitc27,BlackWaldo,2,1,Mono Black Midrange,Pit Rack
DaiH,Gera25,DaiH,2,0,Psychatog,Clerics
Mao88,ecianfanelli,Mao88,2,0,Tidestill,Tidestill
Mao88,iesvilla,Mao88,2,0,Tidestill,GW Midrange
DarioRod,Oscar Zamora,Oscar Zamora,1,2,Stasis,RB Goblins
Tharo,DaiH,DaiH,1,2,RG Ponzavore,Psychatog
Oscar Zamora,iesvilla,Oscar Zamora,2,0,RB Goblins,GW Midrange
Oscar Zamora,BlackWaldo,BlackWaldo,1,2,RB Goblins,Mono Black Midrange
